id,lon,lat
1,-119.0273104,39.47649038
2,-119.0253719,39.47998053
3,-119.030529,39.4726529
4,-119.0341401,39.46934573
5,-119.0361493,39.4678778
7,-119.0379345,39.46567858
9,-119.0403125,39.46206925
10,-119.0425997,39.46249281
19,-118.990741,39.53343765
21,-118.9888322,39.53199735
22,-118.9866578,39.53156648
24,-118.9855315,39.53002806
31,-118.9865505,39.52235891
32,-118.9946172,39.53251183
33,-119.0016063,39.49458316
34,-119.006706,39.49446163
35,-119.0060513,39.49334228
36,-119.0055769,39.49211495
37,-118.9948216,39.49615915
38,-118.9950424,39.49450508
39,-118.990863,39.49557539
40,-118.9944609,39.49728518
41,-118.9918731,39.49755229
42,-118.9891429,39.49728279
43,-119.0079941,39.49402458
44,-119.0092418,39.49377604
45,-119.0080125,39.49286982
46,-119.0101246,39.49115438
47,-119.0115412,39.48965333
48,-119.0056428,39.48805895
49,-119.0066304,39.4850172
50,-119.0118267,39.4831679
51,-119.013981,39.48249541
52,-119.0156203,39.48152443
53,-119.0145644,39.47849845
54,-119.0175233,39.47796809
55,-119.017857,39.47516983
56,-119.0194199,39.47570658
57,-119.0211588,39.473025
58,-119.0243095,39.47090318
59,-119.0281858,39.46785178
60,-119.0290346,39.47002439
61,-119.0140051,39.48830162
62,-119.0141221,39.48714867
63,-119.0175988,39.48750752
64,-119.0181552,39.48614257
65,-119.022764,39.47923934
66,-119.0013419,39.47071944
67,-118.9923776,39.47091351
68,-118.992369,39.46379661
69,-118.9900036,39.5202997
70,-118.9886879,39.51725472
71,-118.9797928,39.51552742
72,-118.9798031,39.51727443
73,-118.9840054,39.51553133
74,-118.9869662,39.51561241
75,-118.9861492,39.51746809
87,-118.9762434,39.49509438
88,-118.979376,39.4932882
89,-118.9851689,39.49377202
90,-118.9894861,39.49214826
91,-118.9892549,39.49309148
92,-118.9885781,39.49423064
93,-118.9863473,39.49524209
94,-118.9846133,39.49556988
95,-118.9783432,39.49027194
96,-118.9739591,39.49167972
97,-118.978954,39.49199596
98,-118.9723236,39.48787417
99,-118.9761603,39.48776082
100,-118.9686408,39.48801885
101,-118.9605508,39.49018712
102,-118.9581563,39.49012523
103,-118.9715262,39.49184865
104,-118.9685366,39.49144336
105,-118.9585382,39.49394169
106,-118.9557588,39.49341602
107,-118.9545168,39.49549455
108,-118.951538,39.49531352
109,-118.9492827,39.49751628
110,-118.9525657,39.49764982
111,-118.9531523,39.49898755
112,-118.9512198,39.49952594
113,-118.9543544,39.49082719
114,-118.9782688,39.47817599
117,-118.9229382,39.50397999
118,-118.9257266,39.50452492
119,-118.9288341,39.50661861
120,-118.9295909,39.50573
121,-118.9289778,39.50494933
122,-118.9272517,39.50496424
123,-118.9174113,39.50455325
124,-118.9146876,39.50331908
125,-118.9200994,39.50282188
126,-118.9160586,39.50174399
127,-118.9300778,39.50162041
128,-118.9236283,39.50259617
129,-118.9330233,39.49821257
130,-118.9357513,39.49770689
131,-118.9387289,39.49922918
132,-118.9394889,39.50293424
133,-118.9446127,39.5002899
134,-118.9432754,39.49864987
135,-118.9415638,39.49622038
136,-118.9453691,39.49598113
137,-118.8874766,39.53467624
138,-118.878024,39.54182063
139,-118.8788175,39.53928439
140,-118.8787865,39.53803246
141,-118.8788537,39.53705718
142,-118.8764704,39.53889977
143,-118.8731398,39.53942981
144,-118.8730491,39.53752062
145,-118.8730544,39.53842466
146,-118.8731237,39.53672329
148,-118.8987198,39.5053243
149,-118.8973034,39.50391233
150,-118.898754,39.50458583
151,-118.900744,39.50256039
153,-118.8964066,39.50164028
154,-118.8928928,39.49731993
155,-118.8891701,39.49714973
158,-118.8873955,39.49196145
159,-118.8813803,39.4914062
160,-118.8772041,39.49081881
161,-118.8958389,39.49750774
162,-118.9020224,39.49558362
163,-118.9001909,39.49535878
164,-118.9018295,39.49329585
165,-118.9021199,39.49408123
166,-118.9005213,39.49338894
167,-118.9076208,39.49762043
168,-118.911493,39.50043711
169,-118.9120249,39.50228403
170,-118.8733015,39.49812824
171,-118.873199,39.49604989
172,-118.8830084,39.45942876
173,-118.8784839,39.45365478
174,-118.8760059,39.45444107
175,-118.8782375,39.45615513
176,-118.8742001,39.45403438
177,-118.8720837,39.45524966
178,-118.878831,39.44714948
179,-118.8764299,39.44720583
180,-118.8747313,39.44696023
181,-118.8736485,39.44801452
182,-118.8707677,39.44842809
183,-118.869116,39.44726376
184,-118.8692441,39.44618258
185,-118.8781119,39.45067597
186,-118.8756793,39.45134561
188,-118.881658,39.47942797
189,-118.8781731,39.47783159
190,-118.8836477,39.47583715
191,-118.8814238,39.47672915
192,-118.8794848,39.47602159
193,-118.8771554,39.47558664
194,-118.8769302,39.46917872
195,-118.8780814,39.47387774
196,-118.8798359,39.47234107
197,-118.8791862,39.46915681
198,-118.8840632,39.46871614
199,-118.8818077,39.46910737
200,-118.8861007,39.46815284
201,-118.8829093,39.47266516
202,-118.8793316,39.4856858
203,-118.8780361,39.48532992
204,-118.8770388,39.48681959
205,-118.8858517,39.4883923
